student_id,day,1st_preference,2nd_preference,3rd_preference,priority
S001,mon,CreativeWriting,UIDesign,BoardGames,high
S001,tue,Theater,BoardGames,DramaClub,high
S001,wed,Meditation,DramaClub,mediumDPrinting,high
S001,thu,Singing,Music,Hockey,high
S002,mon,FirstAid,Swimming,SocialMediaMarketing,high
S002,tue,Chess,BiologyResearch,Football,high
S002,wed,Entrepreneurship,PhysicsExperiments,DigitalMarketing,high
S002,thu,DJing,FilmProduction,ClimateChange,high
S003,mon,Dance,Mindfulness,Breakdancing,high
S003,tue,SpaceExploration,BiologyResearch,MathClub,high
S003,wed,SelfDefense,FilmProduction,UXDesign,high
S003,thu,Zumba,CodingBootcamp,SocialMediaMarketing,high
S004,mon,RoboticsClub,WildlifeConservation,Storytelling,high
S004,tue,Robotics,Dance,SpaceExploration,high
S004,wed,SpanishClub,SelfDefense,ChemistryLab,high
S004,thu,mediumDPrinting,Singing,Chess,high
S005,mon,CostumeDesign,CyberSecurity,Robotics,high
S005,tue,MathClub,UIDesign,Poetry,high
S005,wed,DronePiloting,Animation,Art,high
S005,thu,BiologyResearch,DramaClub,SpanishClub,high
S006,mon,PuzzleSolving,Dance,Astronomy,high
S006,tue,DramaClub,CostumeDesign,ChemistryLab,high
S006,wed,ChemistryLab,UXDesign,Entrepreneurship,high
S006,thu,Theater,UIDesign,SocialMediaMarketing,high
S007,mon,CodingBootcamp,SoundEngineering,BoardGames,high
S007,tue,DronePiloting,CreativeArts,SurvivalSkills,high
S007,wed,PublicSpeaking,PuzzleSolving,Debate,high
S007,thu,Entrepreneurship,Breakdancing,Skating,high
S008,mon,SoundEngineering,DigitalMarketing,CyberSecurity,high
S008,tue,CyberSecurity,Debate,DJing,high
S008,wed,Zumba,Tennis,Volleyball,high
S008,thu,ChessClub,Singing,ScienceClub,high
S009,mon,PuzzleSolving,Volleyball,DronePiloting,high
S009,tue,Entrepreneurship,BoardGames,Meditation,high
S009,wed,ChemistryLab,Poetry,Weightlifting,high
S009,thu,LeadershipWorkshop,ScienceClub,FirstAid,high
S010,mon,Theater,BoardGames,Skating,high
S010,tue,ScienceClub,Painting,Weightlifting,high
S010,wed,FilmProduction,ChemistryLab,BoardGames,high
S010,thu,Entrepreneurship,Dance,SoundEngineering,high
S011,mon,ClimateChange,Origami,LeadershipWorkshop,high
S011,tue,LeadershipWorkshop,SoundEngineering,Zumba,high
S011,wed,Volleyball,UXDesign,PublicSpeaking,high
S011,thu,PuzzleSolving,CreativeArts,Coding,high
S012,mon,AppDesign,Poetry,UIDesign,high
S012,tue,Breakdancing,SpanishClub,DJing,high
S012,wed,MathClub,LeadershipWorkshop,CreativeArts,high
S012,thu,SocialMediaMarketing,CodingBootcamp,AppDesign,high
S013,mon,Meditation,SocialMediaMarketing,MathClub,high
S013,tue,ClimateChange,Chess,Pottery,high
S013,wed,WildlifeConservation,ChemistryLab,PublicSpeaking,high
S013,thu,Entrepreneurship,SelfDefense,SpaceExploration,high
S014,mon,CreativeArts,UXDesign,ClimateChange,high
S014,tue,Meditation,Weightlifting,DronePiloting,high
S014,wed,DramaClub,CreativeArts,Breakdancing,high
S014,thu,SpanishClub,ChessClub,SelfDefense,high
S015,mon,ScienceClub,ClimateChange,Dance,high
S015,tue,FilmProduction,Football,Robotics,high
S015,wed,LeadershipWorkshop,DramaClub,TapDance,high
S015,thu,Astronomy,Storytelling,Soccer,high
S016,mon,PhysicsExperiments,Soccer,Hockey,high
S016,tue,PhysicsExperiments,UIDesign,Football,high
S016,wed,CreativeArts,PublicSpeaking,ClimateChange,high
S016,thu,PublicSpeaking,SoundEngineering,Debate,high
S017,mon,Storytelling,CreativeArts,LeadershipWorkshop,high
S017,tue,ScienceClub,BiologyResearch,Debate,high
S017,wed,Robotics,Meditation,SoundEngineering,high
S017,thu,Football,FilmProduction,Chess,high
S018,mon,ChemistryLab,LeadershipWorkshop,DramaClub,high
S018,tue,DramaClub,Coding,Breakdancing,high
S018,wed,Chess,CreativeWriting,Poetry,high
S018,thu,SpaceExploration,Art,CostumeDesign,high
S019,mon,Breakdancing,Entrepreneurship,FilmProduction,high
S019,tue,Poetry,SelfDefense,Singing,high
S019,wed,DronePiloting,Parkour,BiologyResearch,high
S019,thu,UXDesign,Hockey,Animation,high
S020,mon,ScienceClub,Singing,Swimming,high
S020,tue,ChessClub,Animation,MathClub,high
S020,wed,Mindfulness,Robotics,TapDance,high
S020,thu,Hockey,UXDesign,Astronomy,high
S021,mon,AIClub,SurvivalSkills,SocialMediaMarketing,low
S021,tue,PublicSpeaking,DramaClub,AppDesign,low
S021,wed,Robotics,Singing,FirstAid,low
S021,thu,Entrepreneurship,Tennis,FirstAid,low
S022,mon,Hockey,LeadershipWorkshop,Photography,low
S022,tue,DramaClub,Art,PuzzleSolving,low
S022,wed,Debate,WebDevelopment,Weightlifting,low
S022,thu,Entrepreneurship,Tennis,Parkour,low
S023,mon,Entrepreneurship,Skating,SelfDefense,low
S023,tue,Entrepreneurship,Soccer,LeadershipWorkshop,low
S023,wed,Meditation,DigitalMarketing,Chess,low
S023,thu,mediumDPrinting,CreativeArts,ClimateChange,low
S024,mon,PuzzleSolving,Chess,PhysicsExperiments,low
S024,tue,DronePiloting,Music,Mindfulness,low
S024,wed,Singing,CyberSecurity,PhysicsExperiments,low
S024,thu,ScienceClub,PhysicsExperiments,ChemistryLab,low
S025,mon,AppDesign,Music,Chess,low
S025,tue,AIClub,ClimateChange,UXDesign,low
S025,wed,Art,CostumeDesign,Coding,low
S025,thu,DJing,RoboticsClub,SocialMediaMarketing,low
S026,mon,UXDesign,DataScience,Mindfulness,low
S026,tue,Pottery,Painting,WebDevelopment,low
S026,wed,Parkour,Hockey,Zumba,low
S026,thu,Mindfulness,Robotics,CostumeDesign,low
S027,mon,Parkour,TapDance,LeadershipWorkshop,low
S027,tue,Skating,CreativeWriting,BiologyResearch,low
S027,wed,LeadershipWorkshop,PuzzleSolving,DronePiloting,low
S027,thu,Robotics,Coding,AppDesign,low
S028,mon,FilmProduction,Breakdancing,ChessClub,low
S028,tue,SpanishClub,DronePiloting,Poetry,low
S028,wed,BoardGames,UIDesign,WildlifeConservation,low
S028,thu,Skating,Weightlifting,CyberSecurity,low
S029,mon,TapDance,Theater,FirstAid,low
S029,tue,Music,SocialMediaMarketing,PuzzleSolving,low
S029,wed,DigitalMarketing,Astronomy,DataScience,low
S029,thu,Debate,Tennis,Singing,low
S030,mon,Parkour,ScienceClub,DataScience,low
S030,tue,Storytelling,Theater,FirstAid,low
S030,wed,AIClub,RoboticsClub,Soccer,low
S030,thu,DataScience,ChessClub,CreativeArts,low
S031,mon,CreativeArts,Chess,Photography,low
S031,tue,Breakdancing,Hockey,FilmProduction,low
S031,wed,CreativeWriting,SpanishClub,AIClub,low
S031,thu,WebDevelopment,WildlifeConservation,FilmProduction,low
S032,mon,WebDevelopment,BoardGames,TapDance,low
S032,tue,Animation,PublicSpeaking,Debate,low
S032,wed,CostumeDesign,Dance,LeadershipWorkshop,low
S032,thu,UXDesign,ChessClub,Chess,low
S033,mon,Mindfulness,WebDevelopment,Theater,low
S033,tue,CreativeArts,Debate,SocialMediaMarketing,low
S033,wed,Storytelling,AIClub,Theater,low
S033,thu,Robotics,CodingBootcamp,SpanishClub,low
S034,mon,Dance,Meditation,PuzzleSolving,low
S034,tue,RoboticsClub,Origami,DronePiloting,low
S034,wed,LeadershipWorkshop,TapDance,Coding,low
S034,thu,SelfDefense,Photography,CyberSecurity,low
S035,mon,CostumeDesign,Painting,Skating,low
S035,tue,SelfDefense,Debate,Mindfulness,low
S035,wed,Dance,BiologyResearch,Meditation,low
S035,thu,Debate,ScienceClub,Dance,low
S036,mon,Hockey,DigitalMarketing,ChemistryLab,low
S036,tue,UXDesign,WebDevelopment,TapDance,low
S036,wed,Chess,ChemistryLab,Mindfulness,low
S036,thu,PhysicsExperiments,BiologyResearch,SpanishClub,low
S037,mon,Coding,ChemistryLab,FirstAid,low
S037,tue,ScienceClub,Origami,SocialMediaMarketing,low
S037,wed,SpanishClub,LeadershipWorkshop,MathClub,low
S037,thu,mediumDPrinting,SpanishClub,Dance,low
S038,mon,Pottery,CreativeWriting,Swimming,low
S038,tue,AppDesign,UIDesign,Meditation,low
S038,wed,Origami,SoundEngineering,SocialMediaMarketing,low
S038,thu,Coding,Singing,SocialMediaMarketing,low
S039,mon,Theater,Animation,ClimateChange,low
S039,tue,CostumeDesign,Theater,FirstAid,low
S039,wed,PuzzleSolving,Photography,UXDesign,low
S039,thu,SoundEngineering,AppDesign,ChessClub,low
S040,mon,Zumba,Debate,CreativeArts,low
S040,tue,Pottery,TapDance,ChemistryLab,low
S040,wed,FilmProduction,PuzzleSolving,AIClub,low
S040,thu,Dance,mediumDPrinting,Hockey,low
S041,mon,CostumeDesign,TapDance,Cycling,low
S041,tue,Breakdancing,Debate,Tennis,low
S041,wed,PublicSpeaking,Football,Weightlifting,low
S041,thu,SurvivalSkills,Skating,SoundEngineering,low
S042,mon,SoundEngineering,UIDesign,CreativeArts,low
S042,tue,Photography,Hockey,Parkour,low
S042,wed,CreativeWriting,Tennis,SurvivalSkills,low
S042,thu,Hockey,DataScience,PhysicsExperiments,low
S043,mon,Robotics,Singing,WebDevelopment,low
S043,tue,PuzzleSolving,AppDesign,Dance,low
S043,wed,Entrepreneurship,DataScience,PuzzleSolving,low
S043,thu,Soccer,Robotics,Mindfulness,low
S044,mon,Theater,DramaClub,Astronomy,low
S044,tue,ScienceClub,PhysicsExperiments,WebDevelopment,low
